%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.044799999	4.29048E-07	7.37656E-07	-1.78392E-06	2.64202E-06	2.41473E-07	1.36156E-07	-1.66997E-07	6.49942E-07	0.001355623	0.000483044	-9.35094E-05	0.002804756	0	0	0	0	-0.003016068	0.002575563	-0.010742758	0.004710622
0.045599999	3.68073E-07	6.44133E-07	-1.56432E-06	2.30047E-06	2.21223E-07	1.38962E-07	-1.95663E-07	6.3811E-07	0.001245065	0.000446396	-9.41229E-05	0.002584253	0	0	0	0	-0.003029656	0.002585143	-0.010785086	0.004725774
0.046399999	3.69145E-07	6.11093E-07	-1.46413E-06	2.20242E-06	1.94033E-07	1.34605E-07	-2.09782E-07	5.97847E-07	0.001134504	0.000371298	2.06091E-05	0.002248399	0	0	0	0	-0.003053813	0.002576055	-0.010781978	0.004674352
0.047199999	4.05183E-07	6.45425E-07	-1.53109E-06	2.34146E-06	1.70498E-07	1.22999E-07	-1.985E-07	5.39495E-07	0.001097656	0.000386082	-6.05908E-05	0.002255903	0	0	0	0	-0.003016065	0.002653114	-0.010975406	0.004943275
0.047999999	4.67191E-07	7.16787E-07	-1.68317E-06	2.61755E-06	1.5746E-07	1.13487E-07	-1.83001E-07	4.97921E-07	0.001060805	0.000346756	2.05369E-05	0.002101074	0	0	0	0	-0.002985557	0.002626108	-0.010863882	0.004892767
0.048799999	5.16425E-07	7.02978E-07	-1.59251E-06	2.62536E-06	1.5572E-07	1.09374E-07	-1.72403E-07	4.83843E-07	0.00095025	0.000302771	4.1936E-05	0.001858564	0	0	0	0	-0.00303116	0.002528286	-0.010616019	0.004553698
0.049599999	4.25059E-07	6.94789E-07	-1.65931E-06	2.50943E-06	1.5832E-07	1.15134E-07	-1.87082E-07	5.03722E-07	0.001005528	0.00026945	0.000197176	0.001813879	0	0	0	0	-0.00290984	0.002605058	-0.010725014	0.004905335
0.050399999	4.30283E-07	6.4676E-07	-1.51E-06	2.37056E-06	1.5861E-07	1.15376E-07	-1.87519E-07	5.04738E-07	0.000894969	0.000261535	0.000110365	0.001679574	0	0	0	0	-0.002954344	0.002585845	-0.010711879	0.004803192
0.051199999	4.21893E-07	6.77922E-07	-1.61187E-06	2.45566E-06	1.46666E-07	1.07834E-07	-1.76837E-07	4.70169E-07	0.000931815	0.000269664	0.000122823	0.001740807	0	0	0	0	-0.002853356	0.00260152	-0.010657915	0.004951204
0.051999999	4.4558E-07	7.13683E-07	-1.69547E-06	2.58663E-06	1.28149E-07	9.0802E-08	-1.44257E-07	4.00555E-07	0.00082127	0.000401886	-0.000384388	0.002026929	0	0	0	0	-0.002907163	0.002594066	-0.010689361	0.004875035
