%	3-10788-38173-A-andereRichtung				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0.464799988	-0.000412338	-0.017990105	90	-0.000984222	0.014472008
0.465599988	-0.000181759	-0.012123302	90	-0.000984222	0.014357567
0.466399988	-0.000597112	-0.006420148	90	-0.000984222	0.01429081
0.467199988	0.004314452	-0.00176099	90	-0.000984222	0.014263391
0.467999988	-0.000202498	0.001417307	90	-0.000984222	0.014265776
0.468799988	-0.028835768	-0.00060991	90	-0.000984222	0.014278889
0.469599988	-0.011858785	-0.009556236	90	-0.000984222	0.014230013
0.470399988	-0.001061985	-0.014548477	90	-0.000984222	0.014121532
0.471199988	0.006802595	-0.015857007	90	-0.000984222	0.013993979
0.471999988	0.00085122	-0.013433533	90	-7.59959E-06	0.014853776
0.472799988	0.002170572	-0.009584715	90	-7.59959E-06	0.014764369
0.473599988	-9.27784E-06	-0.004296395	90	-7.59959E-06	0.014713705
0.474399988	-0.000347548	0.000364775	90	-7.59959E-06	0.014704764
0.475199988	-0.000523951	0.00331968	90	-7.59959E-06	0.01472801
0.475999988	0.004262922	0.002349522	90	-7.59959E-06	0.014752448
0.476799988	-0.00010434	-0.000384009	90	-7.59959E-06	0.014758408
0.477599988	0.000286538	-0.001793513	90	-7.59959E-06	0.014745891
0.478399988	-0.002579045	-0.00165809	90	-7.59959E-06	0.01473099
0.479199988	-0.00048431	-3.8438E-05	90	-7.59959E-06	0.014723837
0.479999988	0.006575271	0.001357329	90	-7.59959E-06	0.014729798
0.480799988	-0.000198891	0.001388685	90	-7.59959E-06	0.014742911
0.481599988	-0.000407166	-6.22188E-05	90	-0.000984222	0.013769865
0.482399988	0.004318243	-0.001540571	90	-7.59959E-06	0.014739335
0.483199988	-0.000232053	-0.000943789	90	-7.59959E-06	0.014728606
0.483999988	-0.000611907	0.000239036	90	-7.59959E-06	0.014726222
0.484799988	0.687212706	0.022133851	90.00045776	0.000437059	0.014765561
0.485599988	2.305537701	0.181622222	90.00267029	0.001683731	0.014562607
0.486399988	4.256896496	0.54301548	90.00810623	0.005155473	0.01561895
0.487199988	6.386635303	1.165346384	90.01815796	0.009345328	0.016906708
0.487999988	8.249599457	2.049631596	90.03425598	0.013723257	0.018670559
0.488799988	9.730938911	3.160022736	90.05781174	0.016782305	0.019879043
0.489599988	10.95121288	4.443196297	90.09027481	0.018969054	0.02113238
0.490399988	12.074893	5.873569965	90.13305664	0.018776397	0.020692647
0.491199988	13.23560524	7.44967556	90.18756866	0.02055726	0.022645593
0.491999988	14.50883865	9.179459572	90.25524139	0.020851595	0.023340285
0.492799988	15.80564308	11.07382011	90.33750534	0.024011869	0.026934743
0.493599988	17.11652184	13.16835213	90.43577194	0.024625242	0.02810657
0.494399988	18.59339523	15.42872143	90.55147171	0.027044185	0.031302869
